55, 0, 25, 0, 0, 0.0
85, 1, 55, 0, 2, 0.0
90, 1, 35, 200, 2, 2.0
72, 0, 39, 77, 2, 1.2
104, 1, 34, 200, 4, 1.5
100, 1, 34, 120, 2, 1.0
90, 1, 25, 300, 5, 2.0
85, 1, 28, 200, 3, 1.8
71, 0, 26, 28, 1, 0.2
65, 0, 20, 83, 2, 1.0
78, 0, 42, 100, 3, 1.0
71, 1, 17, 300, 5, 3.0
75, 1, 24, 400, 6, 2.5
77, 1, 21, 300, 10, 2.0
58, 0, 35, 60, 1, 0.3
55, 0, 32, 60, 1, 0.5
57, 0, 36, 104, 2, 0.7
100, 1, 45, 0, 1, 0.0
62, 1, 15, 0, 0.5, 0.0
84, 1, 34, 90, 2, 0.85
84, 1, 34, 140, 3, 1.9
60, 0, 32, 36, 1, 0.95
86, 1, 32, 112, 2, 1.25
40, 0, 32, 28, 1, 0.8
83, 0, 63, 56, 2, 0.7
68, 1, 34, 140, 2, 2.1
78, 1, 36, 136, 3, 1.6
80, 1, 23, 112, 2, 1.1
70, 1, 26, 224, 3, 3.1
95, 1, 36, 130, 4, 0.85
87, 1, 36, 120, 1, 1.3
